id,day_offset,train_no,operator,travel_class,origin,destination,departure_time,duration_mins,price,seats_available
67,4,12423,Northern Railway,Sleeper,Chennai,Katra (SVDK),05:00,2560,1298,12
68,4,12423,Northern Railway,3AC,Chennai,Katra (SVDK),05:00,2560,3436,39
69,4,12423,Northern Railway,2AC,Chennai,Katra (SVDK),05:00,2560,3251,54
70,4,12424,Northern Railway,Sleeper,Kolkata,Katra (SVDK),14:00,1880,1224,9
71,4,12424,Northern Railway,3AC,Kolkata,Katra (SVDK),14:00,1880,927,0
72,4,12424,Northern Railway,2AC,Kolkata,Katra (SVDK),14:00,1880,3422,9
73,4,12425,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),17:00,1648,1063,27
74,4,12425,Indian Railways,3AC,Ahmedabad,Katra (SVDK),17:00,1648,1011,56
75,4,12425,Indian Railways,2AC,Ahmedabad,Katra (SVDK),17:00,1648,3181,26
76,5,12426,Northern Railway,Sleeper,Delhi,Katra (SVDK),07:00,723,356,16
77,5,12426,Northern Railway,3AC,Delhi,Katra (SVDK),07:00,723,1280,6
78,5,12426,Northern Railway,2AC,Delhi,Katra (SVDK),07:00,723,2389,60
79,5,12427,Northern Railway,Sleeper,Mumbai,Katra (SVDK),22:00,1618,1395,45
80,5,12427,Northern Railway,3AC,Mumbai,Katra (SVDK),22:00,1618,1547,61
81,5,12427,Northern Railway,2AC,Mumbai,Katra (SVDK),22:00,1618,2162,14
82,5,12428,Indian Railways,Sleeper,Chennai,Katra (SVDK),22:00,2565,1446,45
83,5,12428,Indian Railways,3AC,Chennai,Katra (SVDK),22:00,2565,2199,32
84,5,12428,Indian Railways,2AC,Chennai,Katra (SVDK),22:00,2565,3974,59
85,5,12429,Indian Railways,Sleeper,Kolkata,Katra (SVDK),14:00,1883,481,1
86,5,12429,Indian Railways,3AC,Kolkata,Katra (SVDK),14:00,1883,2237,37
87,5,12429,Indian Railways,2AC,Kolkata,Katra (SVDK),14:00,1883,3392,18
88,5,12430,Northern Railway,Sleeper,Ahmedabad,Katra (SVDK),20:00,1622,586,21
89,5,12430,Northern Railway,3AC,Ahmedabad,Katra (SVDK),20:00,1622,2056,15
90,5,12430,Northern Railway,2AC,Ahmedabad,Katra (SVDK),20:00,1622,2430,28
91,6,12431,Northern Railway,Sleeper,Delhi,Katra (SVDK),14:00,756,508,49
92,6,12431,Northern Railway,3AC,Delhi,Katra (SVDK),14:00,756,1285,18
93,6,12431,Northern Railway,2AC,Delhi,Katra (SVDK),14:00,756,1535,51
94,6,12432,Indian Railways,Sleeper,Mumbai,Katra (SVDK),07:00,1565,1262,72
95,6,12432,Indian Railways,3AC,Mumbai,Katra (SVDK),07:00,1565,995,48
96,6,12432,Indian Railways,2AC,Mumbai,Katra (SVDK),07:00,1565,2457,30
97,6,12433,Indian Railways,Sleeper,Chennai,Katra (SVDK),14:00,2562,1435,32
98,6,12433,Indian Railways,3AC,Chennai,Katra (SVDK),14:00,2562,2892,46
99,6,12433,Indian Railways,2AC,Chennai,Katra (SVDK),14:00,2562,4152,44
100,6,12434,Indian Railways,Sleeper,Kolkata,Katra (SVDK),07:00,1926,1227,58
101,6,12434,Indian Railways,3AC,Kolkata,Katra (SVDK),07:00,1926,1289,6
102,6,12434,Indian Railways,2AC,Kolkata,Katra (SVDK),07:00,1926,1541,34
103,6,12435,Northern Railway,Sleeper,Ahmedabad,Katra (SVDK),14:00,1584,1230,43
104,6,12435,Northern Railway,3AC,Ahmedabad,Katra (SVDK),14:00,1584,1637,29
105,6,12435,Northern Railway,2AC,Ahmedabad,Katra (SVDK),14:00,1584,3023,34
106,7,12436,Northern Railway,Sleeper,Delhi,Katra (SVDK),14:00,749,534,8
107,7,12436,Northern Railway,3AC,Delhi,Katra (SVDK),14:00,749,933,60
108,7,12436,Northern Railway,2AC,Delhi,Katra (SVDK),14:00,749,1147,18
109,7,12437,Indian Railways,Sleeper,Mumbai,Katra (SVDK),20:00,1546,1087,29
110,7,12437,Indian Railways,3AC,Mumbai,Katra (SVDK),20:00,1546,1254,14
111,7,12437,Indian Railways,2AC,Mumbai,Katra (SVDK),20:00,1546,2593,52
112,7,12438,Northern Railway,Sleeper,Chennai,Katra (SVDK),07:00,2482,1042,26
113,7,12438,Northern Railway,3AC,Chennai,Katra (SVDK),07:00,2482,1927,37
114,7,12438,Northern Railway,2AC,Chennai,Katra (SVDK),07:00,2482,4248,32
115,7,12439,Indian Railways,Sleeper,Kolkata,Katra (SVDK),14:00,1915,1146,23
116,7,12439,Indian Railways,3AC,Kolkata,Katra (SVDK),14:00,1915,2338,14
117,7,12439,Indian Railways,2AC,Kolkata,Katra (SVDK),14:00,1915,3271,11
118,7,12440,Northern Railway,Sleeper,Ahmedabad,Katra (SVDK),07:00,1621,1196,57
119,7,12440,Northern Railway,3AC,Ahmedabad,Katra (SVDK),07:00,1621,2049,28
120,7,12440,Northern Railway,2AC,Ahmedabad,Katra (SVDK),07:00,1621,2629,6
121,8,12441,Indian Railways,Sleeper,Delhi,Katra (SVDK),14:00,742,355,40
122,8,12441,Indian Railways,3AC,Delhi,Katra (SVDK),14:00,742,939,67
123,8,12441,Indian Railways,2AC,Delhi,Katra (SVDK),14:00,742,1022,35
124,8,12442,Indian Railways,Sleeper,Mumbai,Katra (SVDK),05:00,1541,989,37
125,8,12442,Indian Railways,3AC,Mumbai,Katra (SVDK),05:00,1541,1873,17
126,8,12442,Indian Railways,2AC,Mumbai,Katra (SVDK),05:00,1541,2957,50
127,8,12443,Northern Railway,Sleeper,Chennai,Katra (SVDK),07:00,2556,1117,68
128,8,12443,Northern Railway,3AC,Chennai,Katra (SVDK),07:00,2556,2478,55
129,8,12443,Northern Railway,2AC,Chennai,Katra (SVDK),07:00,2556,4541,58
130,8,12444,Indian Railways,Sleeper,Kolkata,Katra (SVDK),05:00,1934,1296,1
131,8,12444,Indian Railways,3AC,Kolkata,Katra (SVDK),05:00,1934,1647,34
132,8,12444,Indian Railways,2AC,Kolkata,Katra (SVDK),05:00,1934,2360,29
133,8,12445,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),07:00,1639,634,23
134,8,12445,Indian Railways,3AC,Ahmedabad,Katra (SVDK),07:00,1639,1030,52
135,8,12445,Indian Railways,2AC,Ahmedabad,Katra (SVDK),07:00,1639,2035,31
136,9,12446,Northern Railway,Sleeper,Delhi,Katra (SVDK),20:00,749,700,42
137,9,12446,Northern Railway,3AC,Delhi,Katra (SVDK),20:00,749,486,49
138,9,12446,Northern Railway,2AC,Delhi,Katra (SVDK),20:00,749,1746,46
139,9,12447,Indian Railways,Sleeper,Mumbai,Katra (SVDK),07:00,1613,1042,67
140,9,12447,Indian Railways,3AC,Mumbai,Katra (SVDK),07:00,1613,1769,72
141,9,12447,Indian Railways,2AC,Mumbai,Katra (SVDK),07:00,1613,3302,32
142,9,12448,Northern Railway,Sleeper,Chennai,Katra (SVDK),17:00,2512,1062,9
143,9,12448,Northern Railway,3AC,Chennai,Katra (SVDK),17:00,2512,1821,49
144,9,12448,Northern Railway,2AC,Chennai,Katra (SVDK),17:00,2512,3472,70
145,9,12449,Indian Railways,Sleeper,Kolkata,Katra (SVDK),07:00,1891,556,10
146,9,12449,Indian Railways,3AC,Kolkata,Katra (SVDK),07:00,1891,943,40
147,9,12449,Indian Railways,2AC,Kolkata,Katra (SVDK),07:00,1891,3524,42
148,9,12450,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),05:00,1650,515,24
149,9,12450,Indian Railways,3AC,Ahmedabad,Katra (SVDK),05:00,1650,942,5
150,9,12450,Indian Railways,2AC,Ahmedabad,Katra (SVDK),05:00,1650,1598,32
151,10,12451,Northern Railway,Sleeper,Delhi,Katra (SVDK),17:00,755,497,14
152,10,12451,Northern Railway,3AC,Delhi,Katra (SVDK),17:00,755,1060,71
153,10,12451,Northern Railway,2AC,Delhi,Katra (SVDK),17:00,755,1136,32
154,10,12452,Indian Railways,Sleeper,Mumbai,Katra (SVDK),14:00,1551,1200,49
155,10,12452,Indian Railways,3AC,Mumbai,Katra (SVDK),14:00,1551,1946,6
156,10,12452,Indian Railways,2AC,Mumbai,Katra (SVDK),14:00,1551,1850,72
157,10,12453,Northern Railway,Sleeper,Chennai,Katra (SVDK),14:00,2506,1688,66
158,10,12453,Northern Railway,3AC,Chennai,Katra (SVDK),14:00,2506,2047,27
159,10,12453,Northern Railway,2AC,Chennai,Katra (SVDK),14:00,2506,4353,5
160,10,12454,Indian Railways,Sleeper,Kolkata,Katra (SVDK),14:00,1916,1198,47
161,10,12454,Indian Railways,3AC,Kolkata,Katra (SVDK),14:00,1916,1200,34
162,10,12454,Indian Railways,2AC,Kolkata,Katra (SVDK),14:00,1916,3430,1
163,10,12455,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),14:00,1632,997,45
164,10,12455,Indian Railways,3AC,Ahmedabad,Katra (SVDK),14:00,1632,2387,38
165,10,12455,Indian Railways,2AC,Ahmedabad,Katra (SVDK),14:00,1632,3203,52
166,11,12456,Northern Railway,Sleeper,Delhi,Katra (SVDK),05:00,729,322,53
167,11,12456,Northern Railway,3AC,Delhi,Katra (SVDK),05:00,729,493,24
168,11,12456,Northern Railway,2AC,Delhi,Katra (SVDK),05:00,729,716,11
169,11,12457,Northern Railway,Sleeper,Mumbai,Katra (SVDK),07:00,1576,1494,69
170,11,12457,Northern Railway,3AC,Mumbai,Katra (SVDK),07:00,1576,1268,59
171,11,12457,Northern Railway,2AC,Mumbai,Katra (SVDK),07:00,1576,3208,0
172,11,12458,Indian Railways,Sleeper,Chennai,Katra (SVDK),17:00,2476,793,48
173,11,12458,Indian Railways,3AC,Chennai,Katra (SVDK),17:00,2476,1858,30
174,11,12458,Indian Railways,2AC,Chennai,Katra (SVDK),17:00,2476,2014,20
175,11,12459,Indian Railways,Sleeper,Kolkata,Katra (SVDK),07:00,1943,720,23
176,11,12459,Indian Railways,3AC,Kolkata,Katra (SVDK),07:00,1943,1560,24
177,11,12459,Indian Railways,2AC,Kolkata,Katra (SVDK),07:00,1943,3236,23
178,11,12460,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),17:00,1600,475,71
179,11,12460,Indian Railways,3AC,Ahmedabad,Katra (SVDK),17:00,1600,1345,37
180,11,12460,Indian Railways,2AC,Ahmedabad,Katra (SVDK),17:00,1600,2960,59
181,12,12461,Northern Railway,Sleeper,Delhi,Katra (SVDK),22:00,699,462,39
182,12,12461,Northern Railway,3AC,Delhi,Katra (SVDK),22:00,699,1475,8
183,12,12461,Northern Railway,2AC,Delhi,Katra (SVDK),22:00,699,1706,59
184,12,12462,Indian Railways,Sleeper,Mumbai,Katra (SVDK),07:00,1609,566,31
185,12,12462,Indian Railways,3AC,Mumbai,Katra (SVDK),07:00,1609,2731,58
186,12,12462,Indian Railways,2AC,Mumbai,Katra (SVDK),07:00,1609,2718,61
187,12,12463,Indian Railways,Sleeper,Chennai,Katra (SVDK),17:00,2490,1361,13
188,12,12463,Indian Railways,3AC,Chennai,Katra (SVDK),17:00,2490,3112,25
189,12,12463,Indian Railways,2AC,Chennai,Katra (SVDK),17:00,2490,3984,8
190,12,12464,Indian Railways,Sleeper,Kolkata,Katra (SVDK),17:00,1890,1198,48
191,12,12464,Indian Railways,3AC,Kolkata,Katra (SVDK),17:00,1890,1573,21
192,12,12464,Indian Railways,2AC,Kolkata,Katra (SVDK),17:00,1890,1695,60
193,12,12465,Northern Railway,Sleeper,Ahmedabad,Katra (SVDK),05:00,1627,740,4
194,12,12465,Northern Railway,3AC,Ahmedabad,Katra (SVDK),05:00,1627,2163,22
195,12,12465,Northern Railway,2AC,Ahmedabad,Katra (SVDK),05:00,1627,2581,20
196,13,12466,Northern Railway,Sleeper,Delhi,Katra (SVDK),14:00,703,397,30
197,13,12466,Northern Railway,3AC,Delhi,Katra (SVDK),14:00,703,620,46
198,13,12466,Northern Railway,2AC,Delhi,Katra (SVDK),14:00,703,1073,38
199,13,12467,Indian Railways,Sleeper,Mumbai,Katra (SVDK),20:00,1552,683,24
200,13,12467,Indian Railways,3AC,Mumbai,Katra (SVDK),20:00,1552,1356,26
201,13,12467,Indian Railways,2AC,Mumbai,Katra (SVDK),20:00,1552,3221,48
202,13,12468,Indian Railways,Sleeper,Chennai,Katra (SVDK),22:00,2534,1758,70
203,13,12468,Indian Railways,3AC,Chennai,Katra (SVDK),22:00,2534,3287,48
204,13,12468,Indian Railways,2AC,Chennai,Katra (SVDK),22:00,2534,3708,1
205,13,12469,Northern Railway,Sleeper,Kolkata,Katra (SVDK),22:00,1971,1166,5
206,13,12469,Northern Railway,3AC,Kolkata,Katra (SVDK),22:00,1971,1889,47
207,13,12469,Northern Railway,2AC,Kolkata,Katra (SVDK),22:00,1971,3108,22
208,13,12470,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),22:00,1591,654,3
209,13,12470,Indian Railways,3AC,Ahmedabad,Katra (SVDK),22:00,1591,1123,36
210,13,12470,Indian Railways,2AC,Ahmedabad,Katra (SVDK),22:00,1591,2319,36
211,14,12471,Indian Railways,Sleeper,Delhi,Katra (SVDK),17:00,680,583,43
212,14,12471,Indian Railways,3AC,Delhi,Katra (SVDK),17:00,680,552,55
213,14,12471,Indian Railways,2AC,Delhi,Katra (SVDK),17:00,680,2172,70
214,14,12472,Indian Railways,Sleeper,Mumbai,Katra (SVDK),22:00,1530,732,52
215,14,12472,Indian Railways,3AC,Mumbai,Katra (SVDK),22:00,1530,1691,11
216,14,12472,Indian Railways,2AC,Mumbai,Katra (SVDK),22:00,1530,3152,39
217,14,12473,Indian Railways,Sleeper,Chennai,Katra (SVDK),22:00,2521,1325,49
218,14,12473,Indian Railways,3AC,Chennai,Katra (SVDK),22:00,2521,2947,17
219,14,12473,Indian Railways,2AC,Chennai,Katra (SVDK),22:00,2521,2176,67
220,14,12474,Northern Railway,Sleeper,Kolkata,Katra (SVDK),05:00,1967,738,30
221,14,12474,Northern Railway,3AC,Kolkata,Katra (SVDK),05:00,1967,1549,31
222,14,12474,Northern Railway,2AC,Kolkata,Katra (SVDK),05:00,1967,3265,41
223,14,12475,Northern Railway,Sleeper,Ahmedabad,Katra (SVDK),17:00,1624,961,27
224,14,12475,Northern Railway,3AC,Ahmedabad,Katra (SVDK),17:00,1624,2384,29
225,14,12475,Northern Railway,2AC,Ahmedabad,Katra (SVDK),17:00,1624,1338,58
226,15,12476,Northern Railway,Sleeper,Delhi,Katra (SVDK),22:00,776,333,50
227,15,12476,Northern Railway,3AC,Delhi,Katra (SVDK),22:00,776,1290,3
228,15,12476,Northern Railway,2AC,Delhi,Katra (SVDK),22:00,776,1343,46
229,15,12477,Indian Railways,Sleeper,Mumbai,Katra (SVDK),14:00,1541,638,49
230,15,12477,Indian Railways,3AC,Mumbai,Katra (SVDK),14:00,1541,2138,34
231,15,12477,Indian Railways,2AC,Mumbai,Katra (SVDK),14:00,1541,4047,70
232,15,12478,Indian Railways,Sleeper,Chennai,Katra (SVDK),14:00,2571,1130,36
233,15,12478,Indian Railways,3AC,Chennai,Katra (SVDK),14:00,2571,2510,14
234,15,12478,Indian Railways,2AC,Chennai,Katra (SVDK),14:00,2571,2247,25
235,15,12479,Northern Railway,Sleeper,Kolkata,Katra (SVDK),14:00,1973,1092,57
236,15,12479,Northern Railway,3AC,Kolkata,Katra (SVDK),14:00,1973,2294,17
237,15,12479,Northern Railway,2AC,Kolkata,Katra (SVDK),14:00,1973,3686,48
238,15,12480,Northern Railway,Sleeper,Ahmedabad,Katra (SVDK),20:00,1621,775,36
239,15,12480,Northern Railway,3AC,Ahmedabad,Katra (SVDK),20:00,1621,2084,52
240,15,12480,Northern Railway,2AC,Ahmedabad,Katra (SVDK),20:00,1621,3303,5
241,16,12481,Indian Railways,Sleeper,Delhi,Katra (SVDK),22:00,706,587,8
242,16,12481,Indian Railways,3AC,Delhi,Katra (SVDK),22:00,706,1408,32
243,16,12481,Indian Railways,2AC,Delhi,Katra (SVDK),22:00,706,1826,38
244,16,12482,Indian Railways,Sleeper,Mumbai,Katra (SVDK),17:00,1614,669,33
245,16,12482,Indian Railways,3AC,Mumbai,Katra (SVDK),17:00,1614,2282,1
246,16,12482,Indian Railways,2AC,Mumbai,Katra (SVDK),17:00,1614,3275,1
247,16,12483,Indian Railways,Sleeper,Chennai,Katra (SVDK),07:00,2478,828,56
248,16,12483,Indian Railways,3AC,Chennai,Katra (SVDK),07:00,2478,2355,21
249,16,12483,Indian Railways,2AC,Chennai,Katra (SVDK),07:00,2478,2679,45
250,16,12484,Northern Railway,Sleeper,Kolkata,Katra (SVDK),05:00,1885,922,58
251,16,12484,Northern Railway,3AC,Kolkata,Katra (SVDK),05:00,1885,2062,49
252,16,12484,Northern Railway,2AC,Kolkata,Katra (SVDK),05:00,1885,1968,12
253,16,12485,Northern Railway,Sleeper,Ahmedabad,Katra (SVDK),05:00,1648,595,45
254,16,12485,Northern Railway,3AC,Ahmedabad,Katra (SVDK),05:00,1648,1745,23
255,16,12485,Northern Railway,2AC,Ahmedabad,Katra (SVDK),05:00,1648,1547,33
256,17,12486,Indian Railways,Sleeper,Delhi,Katra (SVDK),14:00,750,654,2
257,17,12486,Indian Railways,3AC,Delhi,Katra (SVDK),14:00,750,1361,8
258,17,12486,Indian Railways,2AC,Delhi,Katra (SVDK),14:00,750,1590,66
259,17,12487,Indian Railways,Sleeper,Mumbai,Katra (SVDK),20:00,1520,1258,66
260,17,12487,Indian Railways,3AC,Mumbai,Katra (SVDK),20:00,1520,1853,18
261,17,12487,Indian Railways,2AC,Mumbai,Katra (SVDK),20:00,1520,3218,68
262,17,12488,Northern Railway,Sleeper,Chennai,Katra (SVDK),05:00,2526,1738,48
263,17,12488,Northern Railway,3AC,Chennai,Katra (SVDK),05:00,2526,2410,0
264,17,12488,Northern Railway,2AC,Chennai,Katra (SVDK),05:00,2526,4284,15
265,17,12489,Indian Railways,Sleeper,Kolkata,Katra (SVDK),20:00,1940,531,65
266,17,12489,Indian Railways,3AC,Kolkata,Katra (SVDK),20:00,1940,1933,53
267,17,12489,Indian Railways,2AC,Kolkata,Katra (SVDK),20:00,1940,3694,34
268,17,12490,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),20:00,1664,944,23
269,17,12490,Indian Railways,3AC,Ahmedabad,Katra (SVDK),20:00,1664,2235,44
270,17,12490,Indian Railways,2AC,Ahmedabad,Katra (SVDK),20:00,1664,3029,50
271,18,12491,Northern Railway,Sleeper,Delhi,Katra (SVDK),05:00,707,282,69
272,18,12491,Northern Railway,3AC,Delhi,Katra (SVDK),05:00,707,1528,33
273,18,12491,Northern Railway,2AC,Delhi,Katra (SVDK),05:00,707,1907,61
274,18,12492,Northern Railway,Sleeper,Mumbai,Katra (SVDK),14:00,1539,528,16
275,18,12492,Northern Railway,3AC,Mumbai,Katra (SVDK),14:00,1539,2653,8
276,18,12492,Northern Railway,2AC,Mumbai,Katra (SVDK),14:00,1539,3161,69
277,18,12493,Northern Railway,Sleeper,Chennai,Katra (SVDK),05:00,2490,1202,24
278,18,12493,Northern Railway,3AC,Chennai,Katra (SVDK),05:00,2490,3416,40
279,18,12493,Northern Railway,2AC,Chennai,Katra (SVDK),05:00,2490,2017,48
280,18,12494,Northern Railway,Sleeper,Kolkata,Katra (SVDK),17:00,1889,1290,43
281,18,12494,Northern Railway,3AC,Kolkata,Katra (SVDK),17:00,1889,2205,6
282,18,12494,Northern Railway,2AC,Kolkata,Katra (SVDK),17:00,1889,3136,38
283,18,12495,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),05:00,1606,808,27
284,18,12495,Indian Railways,3AC,Ahmedabad,Katra (SVDK),05:00,1606,1801,4
285,18,12495,Indian Railways,2AC,Ahmedabad,Katra (SVDK),05:00,1606,1821,2
286,19,12496,Indian Railways,Sleeper,Delhi,Katra (SVDK),22:00,747,514,69
287,19,12496,Indian Railways,3AC,Delhi,Katra (SVDK),22:00,747,1246,47
288,19,12496,Indian Railways,2AC,Delhi,Katra (SVDK),22:00,747,2096,55
289,19,12497,Indian Railways,Sleeper,Mumbai,Katra (SVDK),17:00,1549,831,25
290,19,12497,Indian Railways,3AC,Mumbai,Katra (SVDK),17:00,1549,2410,21
291,19,12497,Indian Railways,2AC,Mumbai,Katra (SVDK),17:00,1549,2974,13
292,19,12498,Indian Railways,Sleeper,Chennai,Katra (SVDK),05:00,2572,1208,32
293,19,12498,Indian Railways,3AC,Chennai,Katra (SVDK),05:00,2572,1940,70
294,19,12498,Indian Railways,2AC,Chennai,Katra (SVDK),05:00,2572,2243,41
295,19,12499,Northern Railway,Sleeper,Kolkata,Katra (SVDK),07:00,1921,1026,40
296,19,12499,Northern Railway,3AC,Kolkata,Katra (SVDK),07:00,1921,1448,61
297,19,12499,Northern Railway,2AC,Kolkata,Katra (SVDK),07:00,1921,2194,18
298,19,12500,Indian Railways,Sleeper,Ahmedabad,Katra (SVDK),05:00,1632,690,3
299,19,12500,Indian Railways,3AC,Ahmedabad,Katra (SVDK),05:00,1632,1464,70
300,19,12500,Indian Railways,2AC,Ahmedabad,Katra (SVDK),05:00,1632,2070,42
301,20,12501,Northern Railway,Sleeper,Delhi,Katra (SVDK),17:00,687,746,57
302,20,12501,Northern Railway,3AC,Delhi,Katra (SVDK),17:00,687,1535,60
303,20,12501,Northern Railway,2AC,Delhi,Katra (SVDK),17:00,687,1201,70
304,20,12502,Northern Railway,Sleeper,Mumbai,Katra (SVDK),07:00,1515,1358,71
305,20,12502,Northern Railway,3AC,Mumbai,Katra (SVDK),07:00,1515,2556,53
306,20,12502,Northern Railway,2AC,Mumbai,Katra (SVDK),07:00,1515,3723,65
307,20,12503,Indian Railways,Sleeper,Chennai,Katra (SVDK),05:00,2577,1735,31
