id,day_offset,name,category,price_per_night,rooms_available
57,5,Ban Ganga Comfort Stay,Budget,1429,30
58,5,Yatri Niwas Lodge,Budget,1231,23
59,5,Katra Bus Stand Inn,Budget,795,29
60,5,Trikuta Residency,Mid-Range,2066,2
61,5,Bhawan View Hotel,Mid-Range,2418,16
62,5,Katra Heritage Inn,Mid-Range,2238,9
63,5,Devi Darshan Hotel,Mid-Range,2244,2
64,5,Trikuta Hills Resort,Premium,8459,12
65,5,Vaishnavi Grand,Premium,8239,2
66,5,Katra Palace Hotel,Premium,8503,3
67,6,Trikuta Guest House,Budget,1312,15
68,6,Ban Ganga Comfort Stay,Budget,628,5
69,6,Yatri Niwas Lodge,Budget,999,25
70,6,Katra Bus Stand Inn,Budget,1363,8
71,6,Trikuta Residency,Mid-Range,2867,8
72,6,Bhawan View Hotel,Mid-Range,3652,16
73,6,Katra Heritage Inn,Mid-Range,3023,5
74,6,Devi Darshan Hotel,Mid-Range,2339,16
75,6,Trikuta Hills Resort,Premium,11579,4
76,6,Vaishnavi Grand,Premium,8889,7
77,6,Katra Palace Hotel,Premium,11554,1
78,7,Trikuta Guest House,Budget,1146,21
79,7,Ban Ganga Comfort Stay,Budget,1335,22
80,7,Yatri Niwas Lodge,Budget,1437,7
81,7,Katra Bus Stand Inn,Budget,1197,13
82,7,Trikuta Residency,Mid-Range,3465,8
83,7,Bhawan View Hotel,Mid-Range,3783,15
84,7,Katra Heritage Inn,Mid-Range,2715,8
85,7,Devi Darshan Hotel,Mid-Range,3428,4
86,7,Trikuta Hills Resort,Premium,10744,8
87,7,Vaishnavi Grand,Premium,11501,7
88,7,Katra Palace Hotel,Premium,5831,10
89,8,Trikuta Guest House,Budget,668,18
90,8,Ban Ganga Comfort Stay,Budget,1203,6
91,8,Yatri Niwas Lodge,Budget,1381,5
92,8,Katra Bus Stand Inn,Budget,919,23
93,8,Trikuta Residency,Mid-Range,3839,12
94,8,Bhawan View Hotel,Mid-Range,3688,2
95,8,Katra Heritage Inn,Mid-Range,2916,7
96,8,Devi Darshan Hotel,Mid-Range,3608,6
97,8,Trikuta Hills Resort,Premium,11455,8
98,8,Vaishnavi Grand,Premium,8790,6
99,8,Katra Palace Hotel,Premium,8022,12
100,9,Trikuta Guest House,Budget,1047,21
101,9,Ban Ganga Comfort Stay,Budget,856,13
102,9,Yatri Niwas Lodge,Budget,1161,26
103,9,Katra Bus Stand Inn,Budget,1010,3
104,9,Trikuta Residency,Mid-Range,2560,6
105,9,Bhawan View Hotel,Mid-Range,3576,14
106,9,Katra Heritage Inn,Mid-Range,3568,9
107,9,Devi Darshan Hotel,Mid-Range,2656,2
108,9,Trikuta Hills Resort,Premium,6076,6
109,9,Vaishnavi Grand,Premium,8603,1
110,9,Katra Palace Hotel,Premium,8766,4
111,10,Trikuta Guest House,Budget,1122,21
112,10,Ban Ganga Comfort Stay,Budget,1215,24
113,10,Yatri Niwas Lodge,Budget,688,25
114,10,Katra Bus Stand Inn,Budget,1351,8
115,10,Trikuta Residency,Mid-Range,3291,7
116,10,Bhawan View Hotel,Mid-Range,2281,4
117,10,Katra Heritage Inn,Mid-Range,2155,11
118,10,Devi Darshan Hotel,Mid-Range,3690,4
119,10,Trikuta Hills Resort,Premium,7745,4
120,10,Vaishnavi Grand,Premium,5107,3
121,10,Katra Palace Hotel,Premium,11962,1
122,11,Trikuta Guest House,Budget,981,25
123,11,Ban Ganga Comfort Stay,Budget,1138,9
124,11,Yatri Niwas Lodge,Budget,1035,19
125,11,Katra Bus Stand Inn,Budget,1095,27
126,11,Trikuta Residency,Mid-Range,2774,7
127,11,Bhawan View Hotel,Mid-Range,2081,4
128,11,Katra Heritage Inn,Mid-Range,2809,20
129,11,Devi Darshan Hotel,Mid-Range,1956,3
130,11,Trikuta Hills Resort,Premium,10098,1
131,11,Vaishnavi Grand,Premium,10412,2
132,11,Katra Palace Hotel,Premium,11812,8
133,12,Trikuta Guest House,Budget,1061,25
134,12,Ban Ganga Comfort Stay,Budget,783,25
135,12,Yatri Niwas Lodge,Budget,665,23
136,12,Katra Bus Stand Inn,Budget,609,24
137,12,Trikuta Residency,Mid-Range,2348,10
138,12,Bhawan View Hotel,Mid-Range,3299,20
139,12,Katra Heritage Inn,Mid-Range,2613,9
140,12,Devi Darshan Hotel,Mid-Range,3556,19
141,12,Trikuta Hills Resort,Premium,8827,2
142,12,Vaishnavi Grand,Premium,8761,3
143,12,Katra Palace Hotel,Premium,11444,12
144,13,Trikuta Guest House,Budget,1331,26
145,13,Ban Ganga Comfort Stay,Budget,1380,18
146,13,Yatri Niwas Lodge,Budget,1126,12
147,13,Katra Bus Stand Inn,Budget,1358,8
148,13,Trikuta Residency,Mid-Range,3477,12
149,13,Bhawan View Hotel,Mid-Range,3210,20
150,13,Katra Heritage Inn,Mid-Range,2275,8
151,13,Devi Darshan Hotel,Mid-Range,3290,12
152,13,Trikuta Hills Resort,Premium,7443,9
153,13,Vaishnavi Grand,Premium,8723,5
154,13,Katra Palace Hotel,Premium,6611,4
155,14,Trikuta Guest House,Budget,764,5
156,14,Ban Ganga Comfort Stay,Budget,1183,25
157,14,Yatri Niwas Lodge,Budget,1031,23
158,14,Katra Bus Stand Inn,Budget,1311,26
159,14,Trikuta Residency,Mid-Range,3647,20
160,14,Bhawan View Hotel,Mid-Range,2883,16
161,14,Katra Heritage Inn,Mid-Range,1803,10
162,14,Devi Darshan Hotel,Mid-Range,3037,2
163,14,Trikuta Hills Resort,Premium,7328,12
164,14,Vaishnavi Grand,Premium,7947,3
165,14,Katra Palace Hotel,Premium,8396,9
166,15,Trikuta Guest House,Budget,1189,3
167,15,Ban Ganga Comfort Stay,Budget,1249,5
168,15,Yatri Niwas Lodge,Budget,1216,20
169,15,Katra Bus Stand Inn,Budget,1131,29
170,15,Trikuta Residency,Mid-Range,3440,10
171,15,Bhawan View Hotel,Mid-Range,1811,8
172,15,Katra Heritage Inn,Mid-Range,3840,2
173,15,Devi Darshan Hotel,Mid-Range,3828,20
174,15,Trikuta Hills Resort,Premium,10329,3
175,15,Vaishnavi Grand,Premium,7399,3
176,15,Katra Palace Hotel,Premium,7371,1
177,16,Trikuta Guest House,Budget,973,12
178,16,Ban Ganga Comfort Stay,Budget,778,29
179,16,Yatri Niwas Lodge,Budget,1294,8
180,16,Katra Bus Stand Inn,Budget,603,3
181,16,Trikuta Residency,Mid-Range,2334,16
182,16,Bhawan View Hotel,Mid-Range,2484,16
183,16,Katra Heritage Inn,Mid-Range,2240,8
184,16,Devi Darshan Hotel,Mid-Range,3742,5
185,16,Trikuta Hills Resort,Premium,11662,10
186,16,Vaishnavi Grand,Premium,9178,10
187,16,Katra Palace Hotel,Premium,5193,4
188,17,Trikuta Guest House,Budget,1080,15
189,17,Ban Ganga Comfort Stay,Budget,1389,18
190,17,Yatri Niwas Lodge,Budget,1070,13
191,17,Katra Bus Stand Inn,Budget,694,29
192,17,Trikuta Residency,Mid-Range,3663,18
193,17,Bhawan View Hotel,Mid-Range,2204,3
194,17,Katra Heritage Inn,Mid-Range,2319,10
195,17,Devi Darshan Hotel,Mid-Range,2929,7
196,17,Trikuta Hills Resort,Premium,6280,5
197,17,Vaishnavi Grand,Premium,8273,4
198,17,Katra Palace Hotel,Premium,9346,7
199,18,Trikuta Guest House,Budget,1031,7
200,18,Ban Ganga Comfort Stay,Budget,1259,5
201,18,Yatri Niwas Lodge,Budget,1410,26
202,18,Katra Bus Stand Inn,Budget,836,10
203,18,Trikuta Residency,Mid-Range,3095,20
204,18,Bhawan View Hotel,Mid-Range,3896,20
205,18,Katra Heritage Inn,Mid-Range,3787,9
206,18,Devi Darshan Hotel,Mid-Range,3029,12
207,18,Trikuta Hills Resort,Premium,8162,10
208,18,Vaishnavi Grand,Premium,9683,6
209,18,Katra Palace Hotel,Premium,7071,1
210,19,Trikuta Guest House,Budget,698,19
211,19,Ban Ganga Comfort Stay,Budget,769,12
212,19,Yatri Niwas Lodge,Budget,827,10
213,19,Katra Bus Stand Inn,Budget,1461,24
214,19,Trikuta Residency,Mid-Range,3206,15
215,19,Bhawan View Hotel,Mid-Range,3914,8
216,19,Katra Heritage Inn,Mid-Range,3767,8
217,19,Devi Darshan Hotel,Mid-Range,3941,11
218,19,Trikuta Hills Resort,Premium,9492,10
219,19,Vaishnavi Grand,Premium,9186,3
220,19,Katra Palace Hotel,Premium,8614,1
221,20,Trikuta Guest House,Budget,806,7
222,20,Ban Ganga Comfort Stay,Budget,812,17
223,20,Yatri Niwas Lodge,Budget,1470,12
224,20,Katra Bus Stand Inn,Budget,823,27
225,20,Trikuta Residency,Mid-Range,2098,6
226,20,Bhawan View Hotel,Mid-Range,1989,17
227,20,Katra Heritage Inn,Mid-Range,2941,20
228,20,Devi Darshan Hotel,Mid-Range,3541,4
229,20,Trikuta Hills Resort,Premium,6803,10
230,20,Vaishnavi Grand,Premium,5531,11
231,20,Katra Palace Hotel,Premium,5320,1
232,21,Trikuta Guest House,Budget,681,15
233,21,Ban Ganga Comfort Stay,Budget,1313,5
234,21,Yatri Niwas Lodge,Budget,877,17
235,21,Katra Bus Stand Inn,Budget,1205,8
236,21,Trikuta Residency,Mid-Range,2697,15
237,21,Bhawan View Hotel,Mid-Range,3013,9
238,21,Katra Heritage Inn,Mid-Range,2026,14
239,21,Devi Darshan Hotel,Mid-Range,2936,3
240,21,Trikuta Hills Resort,Premium,11561,8
241,21,Vaishnavi Grand,Premium,5880,6
242,21,Katra Palace Hotel,Premium,11362,3
243,22,Trikuta Guest House,Budget,1272,15
244,22,Ban Ganga Comfort Stay,Budget,612,26
245,22,Yatri Niwas Lodge,Budget,1374,11
246,22,Katra Bus Stand Inn,Budget,890,28
247,22,Trikuta Residency,Mid-Range,1962,5
248,22,Bhawan View Hotel,Mid-Range,3164,15
249,22,Katra Heritage Inn,Mid-Range,3638,7
250,22,Devi Darshan Hotel,Mid-Range,2815,3
251,22,Trikuta Hills Resort,Premium,5522,4
252,22,Vaishnavi Grand,Premium,10782,5
253,22,Katra Palace Hotel,Premium,10412,5
254,23,Trikuta Guest House,Budget,1130,11
255,23,Ban Ganga Comfort Stay,Budget,1457,30
256,23,Yatri Niwas Lodge,Budget,856,16
257,23,Katra Bus Stand Inn,Budget,963,6
258,23,Trikuta Residency,Mid-Range,3853,20
259,23,Bhawan View Hotel,Mid-Range,2185,2
260,23,Katra Heritage Inn,Mid-Range,1816,17
261,23,Devi Darshan Hotel,Mid-Range,3258,3
262,23,Trikuta Hills Resort,Premium,5309,5
263,23,Vaishnavi Grand,Premium,10760,9
264,23,Katra Palace Hotel,Premium,11153,6
265,24,Trikuta Guest House,Budget,1450,21
266,24,Ban Ganga Comfort Stay,Budget,722,28
267,24,Yatri Niwas Lodge,Budget,950,21
268,24,Katra Bus Stand Inn,Budget,1061,20
269,24,Trikuta Residency,Mid-Range,1924,20
270,24,Bhawan View Hotel,Mid-Range,2651,19
271,24,Katra Heritage Inn,Mid-Range,3056,16
272,24,Devi Darshan Hotel,Mid-Range,3724,16
273,24,Trikuta Hills Resort,Premium,11528,2
274,24,Vaishnavi Grand,Premium,5578,3
275,24,Katra Palace Hotel,Premium,5687,3
276,25,Trikuta Guest House,Budget,896,26
277,25,Ban Ganga Comfort Stay,Budget,731,26
278,25,Yatri Niwas Lodge,Budget,614,13
279,25,Katra Bus Stand Inn,Budget,1434,11
280,25,Trikuta Residency,Mid-Range,2838,6
281,25,Bhawan View Hotel,Mid-Range,2391,10
282,25,Katra Heritage Inn,Mid-Range,1887,14
283,25,Devi Darshan Hotel,Mid-Range,2291,19
284,25,Trikuta Hills Resort,Premium,10663,10
285,25,Vaishnavi Grand,Premium,9842,10
286,25,Katra Palace Hotel,Premium,11855,1
287,26,Trikuta Guest House,Budget,1382,14
288,26,Ban Ganga Comfort Stay,Budget,1219,11
289,26,Yatri Niwas Lodge,Budget,716,19
290,26,Katra Bus Stand Inn,Budget,1048,10
291,26,Trikuta Residency,Mid-Range,2932,13
292,26,Bhawan View Hotel,Mid-Range,2603,19
293,26,Katra Heritage Inn,Mid-Range,2938,8
294,26,Devi Darshan Hotel,Mid-Range,2348,11
295,26,Trikuta Hills Resort,Premium,11005,12
296,26,Vaishnavi Grand,Premium,8105,4
297,26,Katra Palace Hotel,Premium,11185,10
298,27,Trikuta Guest House,Budget,1310,22
299,27,Ban Ganga Comfort Stay,Budget,1401,23
300,27,Yatri Niwas Lodge,Budget,709,12
301,27,Katra Bus Stand Inn,Budget,861,14
302,27,Trikuta Residency,Mid-Range,3602,16
303,27,Bhawan View Hotel,Mid-Range,2121,6
304,27,Katra Heritage Inn,Mid-Range,2572,8
305,27,Devi Darshan Hotel,Mid-Range,3471,11
306,27,Trikuta Hills Resort,Premium,10614,11
307,27,Vaishnavi Grand,Premium,6956,4
308,27,Katra Palace Hotel,Premium,9373,2
309,28,Trikuta Guest House,Budget,908,9
310,28,Ban Ganga Comfort Stay,Budget,661,29
311,28,Yatri Niwas Lodge,Budget,675,10
312,28,Katra Bus Stand Inn,Budget,1008,21
313,28,Trikuta Residency,Mid-Range,3521,17
314,28,Bhawan View Hotel,Mid-Range,2547,2
315,28,Katra Heritage Inn,Mid-Range,3231,11
316,28,Devi Darshan Hotel,Mid-Range,3873,9
317,28,Trikuta Hills Resort,Premium,9502,10
318,28,Vaishnavi Grand,Premium,10551,2
319,28,Katra Palace Hotel,Premium,10431,12
320,29,Trikuta Guest House,Budget,1000,23
321,29,Ban Ganga Comfort Stay,Budget,779,24
322,29,Yatri Niwas Lodge,Budget,1045,18
323,29,Katra Bus Stand Inn,Budget,1194,7
324,29,Trikuta Residency,Mid-Range,2072,3
325,29,Bhawan View Hotel,Mid-Range,3901,4
326,29,Katra Heritage Inn,Mid-Range,2921,13
327,29,Devi Darshan Hotel,Mid-Range,3382,12
328,29,Trikuta Hills Resort,Premium,6133,10
329,29,Vaishnavi Grand,Premium,9659,5
330,29,Katra Palace Hotel,Premium,11496,5
331,30,Trikuta Guest House,Budget,1428,27
332,30,Ban Ganga Comfort Stay,Budget,796,14
333,30,Yatri Niwas Lodge,Budget,657,16
334,30,Katra Bus Stand Inn,Budget,1165,19
335,30,Trikuta Residency,Mid-Range,2954,5
336,30,Bhawan View Hotel,Mid-Range,2692,20
337,30,Katra Heritage Inn,Mid-Range,2880,6
338,30,Devi Darshan Hotel,Mid-Range,3760,14
339,30,Trikuta Hills Resort,Premium,9291,12
340,30,Vaishnavi Grand,Premium,11008,7
341,30,Katra Palace Hotel,Premium,5867,12
342,31,Trikuta Guest House,Budget,640,22
343,31,Ban Ganga Comfort Stay,Budget,1063,21
344,31,Yatri Niwas Lodge,Budget,680,19
345,31,Katra Bus Stand Inn,Budget,810,5
346,31,Trikuta Residency,Mid-Range,3990,20
347,31,Bhawan View Hotel,Mid-Range,1901,9
348,31,Katra Heritage Inn,Mid-Range,3321,11
349,31,Devi Darshan Hotel,Mid-Range,2265,2
350,31,Trikuta Hills Resort,Premium,5725,8
351,31,Vaishnavi Grand,Premium,5266,1
352,31,Katra Palace Hotel,Premium,5478,2
353,32,Trikuta Guest House,Budget,1206,21
354,32,Ban Ganga Comfort Stay,Budget,968,28
355,32,Yatri Niwas Lodge,Budget,612,24
356,32,Katra Bus Stand Inn,Budget,1274,16
357,32,Trikuta Residency,Mid-Range,3817,6
358,32,Bhawan View Hotel,Mid-Range,2891,14
359,32,Katra Heritage Inn,Mid-Range,2617,16
360,32,Devi Darshan Hotel,Mid-Range,2626,18
361,32,Trikuta Hills Resort,Premium,10737,9
362,32,Vaishnavi Grand,Premium,7308,8
363,32,Katra Palace Hotel,Premium,7211,5
364,33,Trikuta Guest House,Budget,1104,3
365,33,Ban Ganga Comfort Stay,Budget,1014,14
366,33,Yatri Niwas Lodge,Budget,1065,7
367,33,Katra Bus Stand Inn,Budget,928,12
368,33,Trikuta Residency,Mid-Range,1919,8
369,33,Bhawan View Hotel,Mid-Range,3438,13
370,33,Katra Heritage Inn,Mid-Range,2094,9
371,33,Devi Darshan Hotel,Mid-Range,1807,14
372,33,Trikuta Hills Resort,Premium,7603,1
373,33,Vaishnavi Grand,Premium,9111,4
374,33,Katra Palace Hotel,Premium,8662,9
375,34,Trikuta Guest House,Budget,815,25
376,34,Ban Ganga Comfort Stay,Budget,691,3
377,34,Yatri Niwas Lodge,Budget,1172,18
378,34,Katra Bus Stand Inn,Budget,652,9
379,34,Trikuta Residency,Mid-Range,3904,12
380,34,Bhawan View Hotel,Mid-Range,2419,6
381,34,Katra Heritage Inn,Mid-Range,2237,15
382,34,Devi Darshan Hotel,Mid-Range,1865,14
383,34,Trikuta Hills Resort,Premium,9421,11
384,34,Vaishnavi Grand,Premium,11103,6
385,34,Katra Palace Hotel,Premium,5255,11
386,35,Trikuta Guest House,Budget,1435,20
387,35,Ban Ganga Comfort Stay,Budget,843,15
388,35,Yatri Niwas Lodge,Budget,1024,18
389,35,Katra Bus Stand Inn,Budget,1011,9
390,35,Trikuta Residency,Mid-Range,2970,16
391,35,Bhawan View Hotel,Mid-Range,3635,14
392,35,Katra Heritage Inn,Mid-Range,2562,17
393,35,Devi Darshan Hotel,Mid-Range,1910,2
394,35,Trikuta Hills Resort,Premium,8009,12
395,35,Vaishnavi Grand,Premium,9758,8
396,35,Katra Palace Hotel,Premium,6511,10
397,36,Trikuta Guest House,Budget,932,28
398,36,Ban Ganga Comfort Stay,Budget,1477,13
399,36,Yatri Niwas Lodge,Budget,1461,25
400,36,Katra Bus Stand Inn,Budget,1360,16
401,36,Trikuta Residency,Mid-Range,3842,4
402,36,Bhawan View Hotel,Mid-Range,2292,8
403,36,Katra Heritage Inn,Mid-Range,1892,10
404,36,Devi Darshan Hotel,Mid-Range,3059,18
405,36,Trikuta Hills Resort,Premium,5350,7
406,36,Vaishnavi Grand,Premium,7098,8
407,36,Katra Palace Hotel,Premium,10829,4
408,37,Trikuta Guest House,Budget,967,29
409,37,Ban Ganga Comfort Stay,Budget,1200,8
410,37,Yatri Niwas Lodge,Budget,1247,10
411,37,Katra Bus Stand Inn,Budget,1168,11
412,37,Trikuta Residency,Mid-Range,2099,19
413,37,Bhawan View Hotel,Mid-Range,2531,9
414,37,Katra Heritage Inn,Mid-Range,2321,8
415,37,Devi Darshan Hotel,Mid-Range,2552,6
416,37,Trikuta Hills Resort,Premium,10358,10
417,37,Vaishnavi Grand,Premium,5482,5
418,37,Katra Palace Hotel,Premium,7146,2
419,38,Trikuta Guest House,Budget,1435,11
420,38,Ban Ganga Comfort Stay,Budget,718,16
421,38,Yatri Niwas Lodge,Budget,716,20
422,38,Katra Bus Stand Inn,Budget,1447,10
423,38,Trikuta Residency,Mid-Range,2768,10
424,38,Bhawan View Hotel,Mid-Range,3594,4
425,38,Katra Heritage Inn,Mid-Range,1860,2
426,38,Devi Darshan Hotel,Mid-Range,3267,20
427,38,Trikuta Hills Resort,Premium,5533,9
428,38,Vaishnavi Grand,Premium,11700,11
429,38,Katra Palace Hotel,Premium,8151,4
430,39,Trikuta Guest House,Budget,1140,23
431,39,Ban Ganga Comfort Stay,Budget,667,16
432,39,Yatri Niwas Lodge,Budget,1274,26
433,39,Katra Bus Stand Inn,Budget,1067,29
434,39,Trikuta Residency,Mid-Range,2633,17
435,39,Bhawan View Hotel,Mid-Range,2714,18
436,39,Katra Heritage Inn,Mid-Range,3522,13
437,39,Devi Darshan Hotel,Mid-Range,3303,14
438,39,Trikuta Hills Resort,Premium,8966,11
439,39,Vaishnavi Grand,Premium,7984,4
440,39,Katra Palace Hotel,Premium,9610,10
441,40,Trikuta Guest House,Budget,1102,14
442,40,Ban Ganga Comfort Stay,Budget,1176,28
443,40,Yatri Niwas Lodge,Budget,1040,25
444,40,Katra Bus Stand Inn,Budget,1473,13
445,40,Trikuta Residency,Mid-Range,2938,16
446,40,Bhawan View Hotel,Mid-Range,3931,3
447,40,Katra Heritage Inn,Mid-Range,2516,2
448,40,Devi Darshan Hotel,Mid-Range,3651,18
449,40,Trikuta Hills Resort,Premium,8282,3
450,40,Vaishnavi Grand,Premium,9901,3
451,40,Katra Palace Hotel,Premium,11058,4
452,41,Trikuta Guest House,Budget,1272,15
453,41,Ban Ganga Comfort Stay,Budget,1400,5
454,41,Yatri Niwas Lodge,Budget,1089,24
455,41,Katra Bus Stand Inn,Budget,940,4
456,41,Trikuta Residency,Mid-Range,3799,2
457,41,Bhawan View Hotel,Mid-Range,3027,3
458,41,Katra Heritage Inn,Mid-Range,2523,5
459,41,Devi Darshan Hotel,Mid-Range,2879,16
460,41,Trikuta Hills Resort,Premium,9151,8
461,41,Vaishnavi Grand,Premium,9210,1
462,41,Katra Palace Hotel,Premium,8148,11
463,42,Trikuta Guest House,Budget,690,13
464,42,Ban Ganga Comfort Stay,Budget,1060,20
465,42,Yatri Niwas Lodge,Budget,1357,5
466,42,Katra Bus Stand Inn,Budget,702,27
467,42,Trikuta Residency,Mid-Range,2273,6
468,42,Bhawan View Hotel,Mid-Range,3123,13
469,42,Katra Heritage Inn,Mid-Range,2875,20
470,42,Devi Darshan Hotel,Mid-Range,3617,17
471,42,Trikuta Hills Resort,Premium,5400,9
472,42,Vaishnavi Grand,Premium,9195,12
473,42,Katra Palace Hotel,Premium,7030,5
474,43,Trikuta Guest House,Budget,1495,24
475,43,Ban Ganga Comfort Stay,Budget,1092,14
476,43,Yatri Niwas Lodge,Budget,770,21
477,43,Katra Bus Stand Inn,Budget,1260,29
478,43,Trikuta Residency,Mid-Range,3055,19
479,43,Bhawan View Hotel,Mid-Range,2555,13
480,43,Katra Heritage Inn,Mid-Range,3345,9
481,43,Devi Darshan Hotel,Mid-Range,3425,14
482,43,Trikuta Hills Resort,Premium,6561,11
483,43,Vaishnavi Grand,Premium,6007,9
484,43,Katra Palace Hotel,Premium,8486,5
485,44,Trikuta Guest House,Budget,1455,3
486,44,Ban Ganga Comfort Stay,Budget,975,23
487,44,Yatri Niwas Lodge,Budget,1396,26
488,44,Katra Bus Stand Inn,Budget,1063,27
489,44,Trikuta Residency,Mid-Range,2753,14
490,44,Bhawan View Hotel,Mid-Range,2592,9
491,44,Katra Heritage Inn,Mid-Range,3007,10
492,44,Devi Darshan Hotel,Mid-Range,3176,9
493,44,Trikuta Hills Resort,Premium,11443,10
494,44,Vaishnavi Grand,Premium,11025,6
495,44,Katra Palace Hotel,Premium,11414,8
