id,day_offset,flight_no,airline,origin,destination,departure_time,duration_mins,stops,price,seats_available
224,27,IN323,IndiGo,Bangalore,Jammu,19:00,194,0,5637,36
225,27,IN324,IndiGo,Chennai,Jammu,17:00,213,0,8198,49
226,27,IN325,IndiGo,Kolkata,Jammu,14:00,298,1,4334,9
227,27,SP326,SpiceJet,Kolkata,Jammu,17:00,171,0,4542,157
228,27,VI327,Vistara,Ahmedabad,Jammu,15:00,137,0,7249,29
229,28,SP328,SpiceJet,Delhi,Jammu,20:00,103,0,5009,170
230,28,SP329,SpiceJet,Mumbai,Jammu,13:00,155,0,4801,150
231,28,VI330,Vistara,Bangalore,Jammu,09:00,204,0,5211,124
232,28,IN331,IndiGo,Chennai,Jammu,20:00,202,0,8350,155
233,28,SP332,SpiceJet,Chennai,Jammu,16:00,206,0,5369,88
234,28,IN333,IndiGo,Kolkata,Jammu,19:00,187,0,5388,82
235,28,VI334,Vistara,Ahmedabad,Jammu,11:00,140,0,6645,44
236,29,AI335,Air India,Delhi,Jammu,10:00,186,1,2777,26
237,29,VI336,Vistara,Mumbai,Jammu,18:00,169,0,5615,10
238,29,SP337,SpiceJet,Bangalore,Jammu,18:00,189,0,8755,61
239,29,IN338,IndiGo,Chennai,Jammu,05:00,203,0,7322,0
240,29,AI339,Air India,Kolkata,Jammu,17:00,168,0,5989,108
241,29,SP340,SpiceJet,Kolkata,Jammu,10:00,255,1,4692,113
242,29,IN341,IndiGo,Ahmedabad,Jammu,14:00,149,0,5263,61
243,30,SP342,SpiceJet,Delhi,Jammu,18:00,155,1,4923,17
244,30,AI343,Air India,Delhi,Jammu,15:00,174,1,4537,28
245,30,AI344,Air India,Mumbai,Jammu,13:00,167,0,4280,36
246,30,VI345,Vistara,Bangalore,Jammu,13:00,189,0,5105,130
247,30,IN346,IndiGo,Chennai,Jammu,17:00,214,0,5964,151
248,30,VI347,Vistara,Kolkata,Jammu,09:00,180,0,4959,155
249,30,SP348,SpiceJet,Kolkata,Jammu,05:00,179,0,6785,98
250,30,IN349,IndiGo,Ahmedabad,Jammu,08:00,266,1,5173,8
251,30,IN350,IndiGo,Ahmedabad,Jammu,16:00,143,0,6524,145
252,31,VI351,Vistara,Delhi,Jammu,18:00,105,0,4191,42
253,31,VI352,Vistara,Mumbai,Jammu,19:00,155,0,7754,180
254,31,IN353,IndiGo,Bangalore,Jammu,09:00,191,0,5841,26
255,31,SP354,SpiceJet,Bangalore,Jammu,10:00,191,0,6348,153
256,31,AI355,Air India,Chennai,Jammu,08:00,202,0,8468,155
257,31,VI356,Vistara,Chennai,Jammu,20:00,312,1,7667,150
258,31,VI357,Vistara,Kolkata,Jammu,06:00,252,1,7548,143
259,31,IN358,IndiGo,Ahmedabad,Jammu,11:00,145,0,5534,80
260,32,AI359,Air India,Delhi,Jammu,05:00,99,0,5457,114
261,32,AI360,Air India,Delhi,Jammu,13:00,104,0,4984,63
262,32,AI361,Air India,Mumbai,Jammu,05:00,167,0,7180,150
263,32,VI362,Vistara,Bangalore,Jammu,13:00,207,0,7144,129
264,32,VI363,Vistara,Chennai,Jammu,19:00,341,1,7549,154
265,32,AI364,Air India,Kolkata,Jammu,10:00,188,0,5364,177
266,32,VI365,Vistara,Ahmedabad,Jammu,14:00,136,0,4057,157
267,33,IN366,IndiGo,Delhi,Jammu,12:00,99,0,3525,7
268,33,AI367,Air India,Delhi,Jammu,08:00,96,0,4282,146
269,33,SP368,SpiceJet,Mumbai,Jammu,12:00,227,1,4480,76
270,33,AI369,Air India,Mumbai,Jammu,20:00,178,0,7038,54
271,33,IN370,IndiGo,Bangalore,Jammu,06:00,208,0,5822,99
272,33,IN371,IndiGo,Chennai,Jammu,07:00,225,0,8218,128
273,33,AI372,Air India,Chennai,Jammu,16:00,207,0,9350,112
274,33,IN373,IndiGo,Kolkata,Jammu,05:00,293,1,6063,87
275,33,VI374,Vistara,Kolkata,Jammu,12:00,263,1,4915,73
276,33,IN375,IndiGo,Ahmedabad,Jammu,20:00,136,0,7077,65
277,33,VI376,Vistara,Ahmedabad,Jammu,09:00,141,0,5521,96
278,34,VI377,Vistara,Delhi,Jammu,12:00,90,0,3467,146
279,34,AI378,Air India,Delhi,Jammu,09:00,221,1,3065,79
280,34,VI379,Vistara,Mumbai,Jammu,18:00,160,0,7199,121
281,34,SP380,SpiceJet,Bangalore,Jammu,13:00,209,0,6156,164
282,34,SP381,SpiceJet,Chennai,Jammu,19:00,306,1,6515,111
283,34,SP382,SpiceJet,Chennai,Jammu,14:00,211,0,8580,25
284,34,SP383,SpiceJet,Kolkata,Jammu,10:00,177,0,8513,121
285,34,IN384,IndiGo,Ahmedabad,Jammu,12:00,143,0,7476,32
286,34,VI385,Vistara,Ahmedabad,Jammu,20:00,274,1,3346,40
287,35,SP386,SpiceJet,Delhi,Jammu,11:00,99,0,5846,161
288,35,AI387,Air India,Delhi,Jammu,13:00,182,1,5289,113
289,35,VI388,Vistara,Mumbai,Jammu,14:00,258,1,3620,130
290,35,SP389,SpiceJet,Bangalore,Jammu,13:00,188,0,6393,128
291,35,IN390,IndiGo,Bangalore,Jammu,19:00,194,0,5097,161
292,35,AI391,Air India,Chennai,Jammu,19:00,333,1,6287,123
293,35,AI392,Air India,Kolkata,Jammu,16:00,293,1,5324,172
294,35,SP393,SpiceJet,Ahmedabad,Jammu,08:00,150,0,7258,123
295,36,IN394,IndiGo,Delhi,Jammu,10:00,88,0,4425,124
296,36,SP395,SpiceJet,Mumbai,Jammu,16:00,162,0,7527,116
297,36,AI396,Air India,Mumbai,Jammu,12:00,177,0,5990,103
298,36,VI397,Vistara,Bangalore,Jammu,10:00,206,0,5807,168
299,36,SP398,SpiceJet,Chennai,Jammu,16:00,311,1,5397,1
300,36,IN399,IndiGo,Kolkata,Jammu,09:00,182,0,5725,126
301,36,IN400,IndiGo,Kolkata,Jammu,09:00,269,1,4207,78
302,36,VI401,Vistara,Ahmedabad,Jammu,12:00,229,1,5927,1
303,37,VI402,Vistara,Delhi,Jammu,08:00,184,1,5097,177
304,37,AI403,Air India,Mumbai,Jammu,12:00,179,0,6149,44
305,37,SP404,SpiceJet,Bangalore,Jammu,12:00,193,0,6847,46
306,37,AI405,Air India,Chennai,Jammu,10:00,223,0,6940,157
307,37,VI406,Vistara,Kolkata,Jammu,16:00,178,0,6288,28
308,37,VI407,Vistara,Ahmedabad,Jammu,13:00,139,0,4486,1
309,38,IN408,IndiGo,Delhi,Jammu,05:00,99,0,5706,37
310,38,AI409,Air India,Delhi,Jammu,17:00,95,0,4323,155
311,38,AI410,Air India,Mumbai,Jammu,14:00,176,0,8437,96
312,38,SP411,SpiceJet,Bangalore,Jammu,10:00,198,0,7899,138
313,38,IN412,IndiGo,Bangalore,Jammu,16:00,301,1,6065,102
314,38,SP413,SpiceJet,Chennai,Jammu,08:00,284,1,5842,112
315,38,VI414,Vistara,Kolkata,Jammu,05:00,256,1,4166,73
316,38,SP415,SpiceJet,Ahmedabad,Jammu,17:00,131,0,6360,142
317,39,VI416,Vistara,Delhi,Jammu,12:00,103,0,4454,115
318,39,VI417,Vistara,Delhi,Jammu,15:00,94,0,4867,8
319,39,SP418,SpiceJet,Mumbai,Jammu,16:00,159,0,4247,100
320,39,VI419,Vistara,Bangalore,Jammu,10:00,186,0,6973,132
321,39,VI420,Vistara,Chennai,Jammu,17:00,204,0,5486,150
322,39,VI421,Vistara,Chennai,Jammu,18:00,201,0,8198,171
323,39,SP422,SpiceJet,Kolkata,Jammu,18:00,166,0,5351,147
324,39,AI423,Air India,Ahmedabad,Jammu,13:00,147,0,5303,156
325,39,IN424,IndiGo,Ahmedabad,Jammu,17:00,147,0,5628,111
326,40,IN425,IndiGo,Delhi,Jammu,20:00,93,0,6197,180
327,40,IN426,IndiGo,Mumbai,Jammu,20:00,179,0,4570,178
328,40,IN427,IndiGo,Bangalore,Jammu,14:00,193,0,6519,105
329,40,SP428,SpiceJet,Chennai,Jammu,19:00,209,0,6102,149
330,40,AI429,Air India,Kolkata,Jammu,13:00,177,0,6517,91
331,40,IN430,IndiGo,Ahmedabad,Jammu,12:00,137,0,6519,135
332,40,VI431,Vistara,Ahmedabad,Jammu,08:00,139,0,7254,137
333,41,SP432,SpiceJet,Delhi,Jammu,13:00,108,0,4133,141
334,41,VI433,Vistara,Delhi,Jammu,12:00,89,0,5897,99
335,41,AI434,Air India,Mumbai,Jammu,07:00,162,0,5153,86
336,41,VI435,Vistara,Bangalore,Jammu,17:00,321,1,5570,69
337,41,IN436,IndiGo,Chennai,Jammu,14:00,274,1,8019,135
338,41,AI437,Air India,Kolkata,Jammu,09:00,182,0,5552,159
339,41,VI438,Vistara,Ahmedabad,Jammu,11:00,203,1,4816,168
340,42,SP439,SpiceJet,Delhi,Jammu,11:00,106,0,4994,19
341,42,AI440,Air India,Mumbai,Jammu,05:00,157,0,5934,76
342,42,VI441,Vistara,Bangalore,Jammu,08:00,190,0,8637,39
343,42,IN442,IndiGo,Bangalore,Jammu,19:00,210,0,8471,3
344,42,VI443,Vistara,Chennai,Jammu,09:00,206,0,7126,74
345,42,AI444,Air India,Chennai,Jammu,09:00,200,0,6127,146
346,42,AI445,Air India,Kolkata,Jammu,07:00,187,0,5088,170
347,42,IN446,IndiGo,Ahmedabad,Jammu,15:00,136,0,5266,98
348,42,IN447,IndiGo,Ahmedabad,Jammu,12:00,132,0,5691,117
349,43,SP448,SpiceJet,Delhi,Jammu,14:00,103,0,3925,18
350,43,IN449,IndiGo,Mumbai,Jammu,13:00,170,0,6722,83
351,43,VI450,Vistara,Mumbai,Jammu,12:00,298,1,6057,110
352,43,AI451,Air India,Bangalore,Jammu,14:00,198,0,6352,103
353,43,IN452,IndiGo,Bangalore,Jammu,09:00,191,0,6531,113
354,43,IN453,IndiGo,Chennai,Jammu,18:00,215,0,5829,167
355,43,IN454,IndiGo,Chennai,Jammu,08:00,288,1,7557,149
356,43,AI455,Air India,Kolkata,Jammu,17:00,293,1,7354,47
357,43,SP456,SpiceJet,Kolkata,Jammu,11:00,166,0,8581,125
358,43,SP457,SpiceJet,Ahmedabad,Jammu,05:00,141,0,7007,67
359,44,VI458,Vistara,Delhi,Jammu,12:00,97,0,3395,53
360,44,AI459,Air India,Mumbai,Jammu,14:00,171,0,8204,127
361,44,VI460,Vistara,Bangalore,Jammu,20:00,199,0,7217,178
362,44,SP461,SpiceJet,Bangalore,Jammu,15:00,190,0,6072,22
363,44,SP462,SpiceJet,Chennai,Jammu,05:00,203,0,5263,31
364,44,AI463,Air India,Chennai,Jammu,13:00,208,0,8228,174
365,44,AI464,Air India,Kolkata,Jammu,12:00,172,0,7558,147
366,44,AI465,Air India,Ahmedabad,Jammu,08:00,154,0,6526,117
